column,Row Order,TO-MAR BLACKSTAR ET,EMPRISE BELL ELTON,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,MADAWASKA AEROSTAR,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,JOCKO BESN,HANOVERHILL STARBUCK,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,SOUTHWIND BELL OF BAR-LEE,A RONNYBROOK PRELUDE ET,BIS-MAY S-E-L MOUNTAIN ET,PICSTON SHOTTLE,MAUGHLIN STORM,BRAEDALE GOLDWYN,SHOREMAR JAMES,ELITE MOUNTAIN DONOR IMP (E_T),WALKWAY CHIEF MARK,LEKKER VALIANT ROYALTY,A MARK CJ GILBROOK GRAND ET,CARLIN-M IVANHOE BELL,BIS-MAY TRADITION CLEITUS,GIBBON,MARA-THON BW MARSHALL,MAIZEFIELD BELLWOOD - (E_T_),MJR BLACKSTAR EMORY-ET,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,WHITTIER-FARMS NED BOY,BASAR,ETAZON CELSIUS,BELT,ROCKALLI SON OF BOVA,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,HOW-EL-ACRES K BELLMAN ET,TESK-HOLM VALIANT ROCKIE,ROTHROCK TRADITION LEADMAN,LADINO PARK TALENT-IMP-ET,SHEN-VAL NV LM FORMATION-ET,CAL-CLARK BOARD CHAIRMAN,SHOREMAR PERFECT STAR (ET),ETAZON ADDISON,EMERALD-ACRES-SA TONIC ET,HILL VALLEY BASAR ACME,FATAL,RAMOS,DIXIE-LEE AARON -ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,1,0.639285714,0,0,0,0.3,0,0.657142857,0,0.35,0,0.192857143,0,0.160714286,0.489285714,0.192857143,0,0,0,0.317857143,0,0.139285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,2,0.639285714,0.5,0.439285714,0.396428571,0.3,0.35,0,0,0.175,0,0.192857143,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,3,0,1,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0.489285714,0,0,0,0,0,0,0.139285714,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.032142857,0,0,0,0.025,0,0,0,0,0,0.103571429,0,0,0,0,0
DOUBLE DUTCH DT BENITO - ET - DOUBLEDUTCH,4,0.639285714,0,0,0,0.3,0,0,0.396428571,0.525,0.353571429,0.192857143,0.203571429,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORNINGVIEW LEVI - 29HO13664,5,0,1,0.439285714,0.396428571,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.2,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,6,0,0.5,0.439285714,0.396428571,0.6,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0.167857143,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,7,0,0,0,0,0.6,0,0.657142857,0,0,0,0,0,0,0.489285714,0,0.164285714,0.117857143,0.117857143,0.317857143,0.167857143,0.139285714,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE JOCKO 3438 - WESTGATE,8,0,0,0,0,0,0,0.657142857,0.396428571,0.175,0.353571429,0,0.203571429,0,0.489285714,0,0,0,0,0.317857143,0,0.139285714,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,9,0,0.5,0.439285714,0.396428571,0.3,0.35,0,0,0,0,0.192857143,0,0.160714286,0,0.192857143,0,0.117857143,0.117857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUSTEAD JETSTREAM SOTO-ET - 29HO14627,10,0,0,0.439285714,0,0.3,0.35,0,0.396428571,0.175,0.353571429,0.192857143,0.203571429,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,11,0.639285714,0,0,0,0,0,0,0.396428571,0.175,0.353571429,0,0.407142857,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0.153571429,0.15,0.075,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,12,0,0.5,0.439285714,0.396428571,0.3,0.35,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0.146428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007142857,0
CURRAJUGLE GONZO - GONZO,13,0.639285714,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISSTEIN ALTADISCUS - 011HO10831,14,0.639285714,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,15,0.639285714,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CALEB - USEAGE,16,0,0,0,0,0.3,0,0.657142857,0,0.175,0,0,0,0,0.489285714,0,0.164285714,0,0,0.317857143,0,0.139285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0
CARENDA FLASHBACK - FLASHBACK,17,0.639285714,0,0,0,0.3,0,0,0,0.35,0,0.192857143,0,0.160714286,0,0.192857143,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR REGELCREEK SHOT AL - 7H10176,18,0.639285714,0,0,0,0.3,0,0,0,0.35,0,0.192857143,0,0.160714286,0,0.192857143,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,19,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.032142857,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
HAMMER-CREEK O MAN KODY - 14HO06263,20,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.032142857,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,21,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.032142857,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
MORSAN MERCHANT - 0200HO00614,22,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.2,0.096428571,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429
RENGAW JARDIN JANEK - JANEK,23,0,0,0,0,0.3,0,0,0.396428571,0.175,0.353571429,0.192857143,0.203571429,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
PETHERTON DENSITY - 0200HO02700,24,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429
GEN-I-BEQ LAVAMAN - 0200HO06267,25,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0,0,0.053571429,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429
HSS R STRAVAGANZA S1F - CRVSTRAVA,26,0,0,0,0,0,0,0.657142857,0.396428571,0.175,0.353571429,0,0.407142857,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,27,0.639285714,0,0,0,0,0,0.657142857,0,0.175,0,0,0.203571429,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0.121428571,0,0.085714286,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0.05,0,0,0
LEOTHE DEXTERMAN - 0200HO06353,28,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096428571,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429
COGENT TWIST - COGENTTWIST,29,0.639285714,0,0,0,0.3,0,0,0,0.35,0,0.192857143,0,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0
FUSTEAD GOLDWYN GUTHRIE - 7H9420,30,0.639285714,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.164285714,0.117857143,0.117857143,0,0.167857143,0,0.053571429,0,0,0,0,0,0.096428571,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,31,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.032142857,0,0,0,0.025,0.146428571,0,0,0,0,0,0,0,0,0,0
BUNDALONG ROUFECTOR - ROUFECTOR,32,0,0,0,0,0.3,0,0,0.396428571,0.175,0.353571429,0,0.407142857,0,0,0,0.164285714,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,33,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429
COUNTRY ROAD ROUMARE CANBEE - CANBEE,34,0,0,0,0,0,0,0,0.396428571,0.175,0.353571429,0,0.407142857,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0.121428571,0,0.085714286,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0.05,0,0,0
DE-SU FREDDIE GALAXY - ET - CRGALAXY,35,0,0.5,0.439285714,0.396428571,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO ALTAROTOR - 11HO10667,36,0.639285714,0,0,0,0.3,0,0,0,0,0,0.192857143,0,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,37,0.639285714,0,0,0,0.3,0,0,0,0,0,0.192857143,0,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,38,0.639285714,0,0,0,0.3,0,0,0,0,0,0.192857143,0,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,39,0.639285714,0,0,0,0,0,0,0.396428571,0,0.353571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,40,0,0,0,0,0,0,0,0.396428571,0,0.353571429,0.192857143,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0.064285714,0,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0.128571429,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,41,0.639285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117857143,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,42,0,0,0.439285714,0.396428571,0,0,0,0,0,0,0,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,43,0,0,0,0,0,0,0.657142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160714286,0,0,0,0,0,0,0.146428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089285714,0,0
DE-SU 521 BOOKEM - 7H10721,44,0.639285714,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007142857,0
SHEEKNOLL ALTAVITTEK - 011HO10909,45,0.639285714,0,0,0,0,0,0,0,0,0,0.192857143,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU BKM MCCUTCHEN - 7H11477,46,0,0,0,0,0.3,0,0,0,0,0,0.192857143,0,0.160714286,0,0.192857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007142857,0
PENN-ENGLAND ISADOR - 29HO16319,47,0,0,0.439285714,0.396428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0.657142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
