column,Row Order,O-BEE MANFRED JUSTICE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,TO-MAR BLACKSTAR ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,ELITE MOUNTAIN DONOR IMP (E_T),MADAWASKA AEROSTAR,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,BIS-MAY S-E-L MOUNTAIN ET,MAUGHLIN STORM,HANOVERHILL STARBUCK,MARA-THON BW MARSHALL,SHOREMAR JAMES,A RONNYBROOK PRELUDE ET,SOUTHWIND BELL OF BAR-LEE,LADINO PARK TALENT-IMP-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,HILL VALLEY BASAR ACME,MJR BLACKSTAR EMORY-ET,MAIZEFIELD BELLWOOD - (E_T_),BASAR,WALKWAY CHIEF MARK,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,NORRIELAKE CLEITUS LUKE TWIN,BIS-MAY TRADITION CLEITUS,A MARK CJ GILBROOK GRAND ET,CARLIN-M IVANHOE BELL,RAMOS,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,DIXIE-LEE AARON -ET,ETAZON CELSIUS,WHITTIER-FARMS NED BOY,SHEN-VAL NV LM FORMATION-ET,FATAL,HOW-EL-ACRES K BELLMAN ET,BELT,ROTHROCK TRADITION LEADMAN,ROCKALLI SON OF BOVA,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),EMERALD-ACRES-SA TONIC ET,CAL-CLARK BOARD CHAIRMAN
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,1,0.966896549,0,0.327584868,0.557241429,0,0.201379328,0.139309916,0.113787243,0,0.091721101,0,0.086892587,0,0,0,0,0,0.050343905,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUSTEAD JETSTREAM SOTO-ET - 29HO14627,2,0,0.747585743,0.327584868,0.557241429,0,0,0.139309916,0,0,0.091721101,0.184824425,0.086892587,0,0,0,0.048963624,0,0,0.03586013,0.058618532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUBLE DUTCH DT BENITO - ET - DOUBLEDUTCH,3,0,0.747585743,0,0.59034488,0.184131282,0,0.147585779,0,0,0.09379011,0.184824425,0,0,0,0,0.050342846,0,0,0.03792914,0.058618532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORNINGVIEW LEVI - 29HO13664,4,0.966896549,0,0.327584868,0,0,0,0,0.114476854,0,0.091721101,0,0.086892587,0,0,0,0,0.356551535,0,0,0,0,0,0,0,0,0.091033078,0,0,0,0.021378827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORSAN MERCHANT - 0200HO00614,5,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0.348275672,0,0,0,0,0,0,0,0.060689307,0.088964069,0,0,0,0,0.02551667,0,0,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,6,0.966896549,0,0.327584868,0,0.184131282,0,0.147585779,0.113787243,0,0.091721101,0,0.086892587,0,0,0,0.048963624,0,0,0.03792914,0,0,0,0,0,0,0,0,0,0,0.021378827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE JOCKO 3438 - WESTGATE,7,0,0.780689194,0,0,0,0,0,0,0.504827454,0,0.193100287,0,0.199993397,0.186202587,0,0.051032633,0,0,0,0.060687542,0,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0.017929888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,8,0,0,0,0.59034488,0.184131282,0,0.147585779,0,0.504827454,0.09379011,0,0,0.199993397,0.186202587,0,0.049653235,0,0,0.03792914,0,0,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,9,0.966896549,0,0.327584868,0,0,0.242758642,0,0.113787243,0,0.092410712,0,0.086892587,0,0,0.077929938,0,0,0.060688778,0,0,0,0,0,0,0,0,0,0.037239352,0,0,0,0,0.013102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,10,0,0.747585743,0,0.557241429,0,0,0.139309916,0,0,0.091721101,0.184824425,0,0,0,0,0.048963624,0,0,0.03586013,0.058618532,0,0,0,0,0,0,0,0,0,0,0,0.04206716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028274761,0
BALLYCAIRN OMAN PELLO - 29HO12772,11,1,0,0.33586073,0,0,0.209655191,0,0.115856253,0,0,0,0.088961597,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0.017929888,0,0,0,0,0,0,0,0,0,0,0,0.006896111,0.005516889,0,0,0
HAMMER-CREEK O MAN KODY - 14HO06263,12,1,0,0.33586073,0,0,0.209655191,0,0.115856253,0,0,0,0.088961597,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0.017929888,0,0,0,0,0,0,0,0,0,0,0,0.006896111,0.005516889,0,0,0
WINTERSELL MILO - CBWINTERSELL,13,1,0,0.33586073,0,0,0.209655191,0,0.115856253,0,0,0,0.088961597,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0.017929888,0,0,0,0,0,0,0,0,0,0,0,0.006896111,0.005516889,0,0,0
INDIJKS BABYLON - 29HO12470,14,1,0,0.33586073,0,0,0,0,0.116545864,0,0,0,0.088961597,0,0.186202587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0.017929888,0,0.099310177,0,0,0,0,0,0,0,0,0,0.006896111,0.005516889,0,0,0
PETHERTON DENSITY - 0200HO02700,15,0.966896549,0,0.327584868,0,0,0.209655191,0,0.113787243,0,0,0,0.086892587,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0.011033778,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,16,0.966896549,0,0.327584868,0,0,0.209655191,0,0.113787243,0,0,0,0.086892587,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0.011033778,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,17,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0.09379011,0,0.086892587,0,0,0,0.048963624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02965469,0,0,0,0,0.05793104,0,0,0,0,0.028963666,0,0,0,0,0,0,0,0,0,0
LEOTHE DEXTERMAN - 0200HO06353,18,0.966896549,0,0.327584868,0,0,0,0.137240906,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0.060689307,0,0,0,0,0,0.02551667,0,0,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,19,0,0.747585743,0,0,0.184131282,0,0,0,0,0,0.184824425,0,0,0,0,0.048963624,0,0,0,0.059308143,0,0.317931018,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07930916,0,0,0,0,0,0.019309464,0,0,0,0,0,0,0
CURRAJUGLE GONZO - GONZO,20,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISSTEIN ALTADISCUS - 011HO10831,21,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,22,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,23,1,0,0.33586073,0,0,0,0,0.115856253,0,0,0,0.088961597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017929888,0,0,0,0,0,0,0,0,0,0,0.035170696,0.006896111,0.005516889,0,0,0
DELTA G-FORCE - CRVGFORCE,24,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU FREDDIE GALAXY - ET - CRGALAXY,25,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR REGELCREEK SHOT AL - 7H10176,26,0,0,0,0.59034488,0.184131282,0.209655191,0.147585779,0,0,0.09379011,0,0,0,0,0.075860928,0.049653235,0,0.052412915,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FLASHBACK - FLASHBACK,27,0,0,0,0.59034488,0.184131282,0.209655191,0.147585779,0,0,0.09379011,0,0,0,0,0.075860928,0.049653235,0,0.052412915,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,28,0,0,0,0,0,0.242758642,0,0,0.504827454,0.092410712,0,0,0.199993397,0.186202587,0.077929938,0,0,0.060688778,0,0,0,0,0,0,0,0,0,0.037239352,0.029653454,0,0,0,0.013102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG ROUFECTOR - ROUFECTOR,29,0,0.747585743,0,0,0,0,0,0,0,0.091721101,0.184824425,0,0,0,0.077929938,0.048963624,0,0,0,0.059308143,0.17655174,0,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,30,0.958620686,0,0.325515858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0.060689307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CALEB - USEAGE,31,0,0,0,0,0,0,0,0,0.504827454,0.09379011,0,0,0.199993397,0.186202587,0.086205801,0.048963624,0,0,0,0,0.209655191,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,32,0,0.747585743,0,0,0,0,0,0,0,0,0.184824425,0,0,0,0,0.048963624,0,0,0,0.059308143,0,0,0.037930729,0.107586216,0,0,0.073792624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017240277,0,0,0,0.013792398,0,0
PENN-ENGLAND ISADOR - 29HO16319,33,0.958620686,0,0.325515858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS R STRAVAGANZA S1F - CRVSTRAVA,34,0,0.747585743,0,0,0,0,0,0,0,0,0.184824425,0,0.199993397,0,0,0.048963624,0,0,0,0.059308143,0,0,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,35,0,0.73930988,0,0,0,0,0.139309916,0,0,0,0.182755415,0,0,0,0,0,0,0,0.03586013,0,0,0,0.035861719,0,0,0,0,0,0,0.019309817,0,0,0,0,0,0,0,0,0,0,0.048274719,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,36,0,0,0,0.59034488,0.184131282,0,0.147585779,0,0,0.09379011,0,0,0,0,0,0.049653235,0,0,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032412957,0,0,0,0.019309464,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,37,0,0.73930988,0,0,0.184131282,0,0,0,0,0,0.182755415,0,0,0,0,0,0,0,0,0,0,0,0.035861719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,38,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO ALTAROTOR - 11HO10667,39,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,40,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU BKM MCCUTCHEN - 7H11477,41,0,0,0,0.557241429,0,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0.019309817,0,0,0,0,0.016551726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,42,0,0,0,0,0.184131282,0,0,0,0,0,0,0,0.199993397,0,0,0.048963624,0,0,0,0.058618532,0,0,0.037930729,0.140689668,0,0,0.082068487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019309287,0,0,0,0.015861408,0,0
FUSTEAD GOLDWYN GUTHRIE - 7H9420,43,0,0,0,0,0.184131282,0.242758642,0,0,0,0.092410712,0,0,0,0,0.077929938,0,0,0.060688778,0,0,0,0,0,0,0.062758317,0,0,0.037239352,0,0,0,0,0.013102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005516889,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,44,0,0,0,0,0.184131282,0,0.139309916,0,0,0,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 521 BOOKEM - 7H10721,45,0,0,0,0,0.184131282,0,0,0,0,0.091721101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021378827,0,0,0,0,0.024827588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,46,0,0,0,0,0,0,0,0,0,0,0,0,0.199993397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04206716,0,0,0,0,0,0,0,0.028963666,0,0.04689585,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,47,0,0,0,0,0.186200292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037928963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023446777
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0.199993397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04206716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030343948,0,0,0,0,0,0,0,0,0,0,0
